product_id,sku,name,category,price,is_active,description,seller_name,seller_location,seller_member_since,seller_response_time,seller_shipping_policy,seller_return_policy,seller_badge
60,SKU0060,Denim Jeans V2,Clothing,54.99,True,Classic fit denim jeans for men,Adventure Gear,"Surat, Gujarat",2022-12-03,Within 24 hours,Ships from Delhi within 2-3 business days,No returns on sale items; 30 days for regular items,Premium
61,SKU0061,Lawn Mower Electric V2,Home & Garden,249.99,True,Cordless electric lawn mower,BookLovers,"Jaipur, Rajasthan",2023-04-19,Same day,Ships from Mumbai within 1-2 business days,30-day return policy with free returns,Top Rated
62,SKU0062,Hiking Backpack 40L V2,Sports & Outdoors,79.99,True,Waterproof hiking backpack with rain cover,Home Decor,"Delhi, Delhi",2023-08-02,Same day,Ships from Chennai within 3-5 business days,7-day return policy with original packaging,Trusted
63,SKU0063,Cookbook Italian Cuisine V2,Books,24.99,True,Authentic Italian recipes and cooking guide,Organic Foods,"Ahmedabad, Gujarat",2022-03-25,Within 1 hour,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Top Rated
64,SKU0064,Remote Control Car V2,Toys & Games,44.99,True,RC racing car with rechargeable battery,Adventure Gear,"Kolkata, West Bengal",2023-03-28,Same day,Ships from Delhi within 2-3 business days,No returns on sale items; 30 days for regular items,Trusted
65,SKU0065,Coffee Beans 2lb V2,Food & Beverages,18.99,True,Premium arabica whole coffee beans,Page Turner Books,"Delhi, Delhi",2024-09-04,Within 4 hours,Ships from Mumbai within 1-2 business days,60-day return policy with easy returns,Premium
66,SKU0066,Face Moisturizer SPF30 V2,Health & Beauty,24.99,True,Daily facial moisturizer with sun protection,Clothing Co,"Hyderabad, Telangana",2022-12-20,Within 4 hours,Ships from Chennai within 3-5 business days,No returns on sale items; 30 days for regular items,Trusted
67,SKU0067,Car Floor Mats V2,Automotive,39.99,True,All-weather rubber floor mat set,Play Zone,"Bangalore, Karnataka",2020-01-06,Within 4 hours,Ships from Chennai within 3-5 business days,15-day return policy on unused items,Featured
68,SKU0068,Wireless Mouse V2,Electronics,29.99,True,Ergonomic wireless mouse with USB receiver,Home Decor,"Mumbai, Maharashtra",2020-06-14,Within 24 hours,Ships from Delhi within 2-3 business days,60-day return policy with easy returns,Verified
69,SKU0069,Winter Jacket V2,Clothing,119.99,True,Insulated waterproof winter coat,Green Garden Co,"Bangalore, Karnataka",2022-06-04,Within 1 hour,Ships from Chennai within 3-5 business days,No returns on sale items; 30 days for regular items,Top Rated
70,SKU0070,Garden Tool Set V2,Home & Garden,44.99,True,7-piece gardening tool kit with trowel,Beauty Box,"Delhi, Delhi",2023-04-07,Within 4 hours,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Trusted
71,SKU0071,Yoga Mat Premium V2,Sports & Outdoors,34.99,True,Extra thick non-slip exercise mat,Fashion Hub,"Bangalore, Karnataka",2021-12-14,Within 4 hours,Ships from Bangalore within 1-2 business days,60-day return policy with easy returns,Featured
72,SKU0072,Science Fiction Trilogy V2,Books,39.99,True,Award-winning sci-fi trilogy box set,Car Care Pro,"Surat, Gujarat",2023-08-17,Within 1 hour,Ships from Pune within 2-4 business days,7-day return policy with original packaging,Trusted
73,SKU0073,Puzzle 1000 Pieces V2,Toys & Games,19.99,True,Scenic landscape jigsaw puzzle,Play Zone,"Kolkata, West Bengal",2021-05-25,Same day,Ships from Delhi within 2-3 business days,15-day return policy on unused items,Verified
74,SKU0074,Dark Chocolate Bar 12pk V2,Food & Beverages,22.99,True,Premium 70% cocoa chocolate bars,Health Market,"Mumbai, Maharashtra",2021-11-19,Within 1 hour,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Trusted
75,SKU0075,Hair Dryer Professional V2,Health & Beauty,69.99,True,Ionic hair dryer with diffuser attachment,ToysRFun,"Surat, Gujarat",2023-03-24,Within 2 hours,Ships from Delhi within 2-3 business days,60-day return policy with easy returns,Verified
76,SKU0076,Car Seat Covers V2,Automotive,59.99,True,Universal fit front and rear seat covers,Car Care Pro,"Kolkata, West Bengal",2020-11-24,Within 4 hours,Ships from Pune within 2-4 business days,15-day return policy on unused items,Top Rated
77,SKU0077,Mechanical Keyboard V2,Electronics,89.99,True,RGB backlit gaming mechanical keyboard,Car Care Pro,"Jaipur, Rajasthan",2024-10-13,Same day,Ships from Pune within 2-4 business days,7-day return policy with original packaging,Top Rated
78,SKU0078,Sneakers Canvas V2,Clothing,39.99,True,Casual canvas sneakers unisex,Home Decor,"Hyderabad, Telangana",2024-10-10,Within 24 hours,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Trusted
79,SKU0079,Patio Furniture Set V2,Home & Garden,399.99,True,4-piece outdoor furniture with cushions,SportsPro,"Surat, Gujarat",2021-12-26,Same day,Ships from Mumbai within 1-2 business days,No returns on sale items; 30 days for regular items,Premium
80,SKU0080,Bicycle Mountain 26 inch V2,Sports & Outdoors,349.99,True,21-speed mountain bike with suspension,Adventure Gear,"Ahmedabad, Gujarat",2022-12-29,Within 1 hour,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Top Rated
81,SKU0081,Wireless Bluetooth Headphones V3,Electronics,79.99,True,Premium noise-cancelling wireless headphones with 30-hour battery life,BookLovers,"Surat, Gujarat",2023-02-04,Within 1 hour,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Featured
82,SKU0082,Men's Cotton T-Shirt V3,Clothing,24.99,True,100% cotton crew neck t-shirt available in multiple colors,Beauty Box,"Mumbai, Maharashtra",2021-11-01,Within 2 hours,Ships from Mumbai within 1-2 business days,30-day return policy with free returns,Top Rated
83,SKU0083,Garden Hose 50ft V3,Home & Garden,34.99,True,Durable expandable garden hose with spray nozzle,Clothing Co,"Chennai, Tamil Nadu",2024-07-22,Within 24 hours,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Featured
84,SKU0084,Running Shoes V3,Sports & Outdoors,89.99,True,Lightweight running shoes with cushioned sole,Play Zone,"Surat, Gujarat",2024-12-29,Within 4 hours,Ships from Mumbai within 1-2 business days,No returns on sale items; 30 days for regular items,Trusted
85,SKU0085,The Great Gatsby V3,Books,14.99,True,Classic American novel by F. Scott Fitzgerald,Clothing Co,"Hyderabad, Telangana",2021-10-24,Within 2 hours,Ships from Mumbai within 1-2 business days,7-day return policy with original packaging,Premium
86,SKU0086,Board Game - Strategy Quest V3,Toys & Games,39.99,True,Family board game for 2-6 players ages 10+,Green Garden Co,"Mumbai, Maharashtra",2024-02-19,Within 1 hour,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Verified
87,SKU0087,Organic Green Tea 100ct V3,Food & Beverages,12.99,True,Premium organic green tea bags,TechWorld Inc,"Ahmedabad, Gujarat",2020-01-02,Same day,Ships from Chennai within 3-5 business days,15-day return policy on unused items,Top Rated
88,SKU0088,Vitamin C Serum V3,Health & Beauty,29.99,True,Anti-aging vitamin C serum for face,SportsPro,"Chennai, Tamil Nadu",2021-01-15,Within 2 hours,Ships from Pune within 2-4 business days,No returns on sale items; 30 days for regular items,Trusted
89,SKU0089,Car Phone Mount V3,Automotive,19.99,True,Universal dashboard phone holder,Clothing Co,"Chennai, Tamil Nadu",2024-12-10,Within 4 hours,Ships from Bangalore within 1-2 business days,60-day return policy with easy returns,Trusted
90,SKU0090,4K Smart TV 55 inch V3,Electronics,599.99,True,55-inch 4K UHD Smart LED TV with HDR,Fashion Hub,"Kolkata, West Bengal",2021-05-06,Within 24 hours,Ships from Bangalore within 1-2 business days,No returns on sale items; 30 days for regular items,Verified
91,SKU0091,Women's Yoga Pants V3,Clothing,44.99,True,High-waist stretchy yoga leggings,SportsPro,"Jaipur, Rajasthan",2022-06-22,Same day,Ships from Delhi within 2-3 business days,60-day return policy with easy returns,Featured
92,SKU0092,Indoor Plant Pot Set V3,Home & Garden,28.99,True,Set of 3 ceramic planters with drainage,Home Decor,"Mumbai, Maharashtra",2023-04-12,Within 4 hours,Ships from Bangalore within 1-2 business days,7-day return policy with original packaging,Featured
93,SKU0093,Camping Tent 4-Person V3,Sports & Outdoors,149.99,True,Waterproof family camping tent,Fashion Hub,"Surat, Gujarat",2021-07-03,Within 4 hours,Ships from Chennai within 3-5 business days,No returns on sale items; 30 days for regular items,Featured
94,SKU0094,Harry Potter Box Set V3,Books,89.99,True,Complete 7-book Harry Potter series,SportsPro,"Bangalore, Karnataka",2021-10-15,Within 24 hours,Ships from Pune within 2-4 business days,No returns on sale items; 30 days for regular items,Featured
95,SKU0095,LEGO City Building Set V3,Toys & Games,59.99,True,500-piece LEGO construction set,Beauty Essentials,"Delhi, Delhi",2020-11-24,Same day,Ships from Bangalore within 1-2 business days,No returns on sale items; 30 days for regular items,Verified
96,SKU0096,Protein Powder 2lb V3,Food & Beverages,34.99,True,Whey protein isolate chocolate flavor,Organic Foods,"Hyderabad, Telangana",2023-08-08,Within 1 hour,Ships from Chennai within 3-5 business days,No returns on sale items; 30 days for regular items,Trusted
97,SKU0097,Electric Toothbrush V3,Health & Beauty,79.99,True,Rechargeable sonic toothbrush with timer,Auto Parts Plus,"Hyderabad, Telangana",2023-11-28,Within 4 hours,Ships from Mumbai within 1-2 business days,30-day return policy with free returns,Trusted
98,SKU0098,Car Dash Cam V3,Automotive,89.99,True,1080p HD dashboard camera with night vision,ElectroStore,"Pune, Maharashtra",2023-12-16,Same day,Ships from Mumbai within 1-2 business days,30-day return policy with free returns,Trusted
99,SKU0099,Laptop 15.6 inch V3,Electronics,699.99,True,Business laptop with Intel i5 processor,ToysRFun,"Delhi, Delhi",2024-04-18,Within 2 hours,Ships from Bangalore within 1-2 business days,30-day return policy with free returns,Premium
100,SKU0100,Denim Jeans V3,Clothing,54.99,True,Classic fit denim jeans for men,BookLovers,"Mumbai, Maharashtra",2022-02-26,Within 4 hours,Ships from Mumbai within 1-2 business days,No returns on sale items; 30 days for regular items,Premium
101,SKU0101,Lawn Mower Electric V3,Home & Garden,249.99,True,Cordless electric lawn mower,Car Care Pro,"Mumbai, Maharashtra",2023-05-21,Within 1 hour,Ships from Mumbai within 1-2 business days,7-day return policy with original packaging,Verified
102,SKU0102,Hiking Backpack 40L V3,Sports & Outdoors,79.99,True,Waterproof hiking backpack with rain cover,Organic Foods,"Jaipur, Rajasthan",2022-06-16,Within 2 hours,Ships from Bangalore within 1-2 business days,60-day return policy with easy returns,Featured
103,SKU0103,Cookbook Italian Cuisine V3,Books,24.99,True,Authentic Italian recipes and cooking guide,Beauty Box,"Surat, Gujarat",2020-03-11,Within 4 hours,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Premium
104,SKU0104,Remote Control Car V3,Toys & Games,44.99,True,RC racing car with rechargeable battery,Green Garden Co,"Delhi, Delhi",2023-09-27,Within 24 hours,Ships from Chennai within 3-5 business days,15-day return policy on unused items,Verified
105,SKU0105,Coffee Beans 2lb V3,Food & Beverages,18.99,True,Premium arabica whole coffee beans,Organic Foods,"Kolkata, West Bengal",2020-04-09,Same day,Ships from Bangalore within 1-2 business days,30-day return policy with free returns,Top Rated
106,SKU0106,Face Moisturizer SPF30 V3,Health & Beauty,24.99,True,Daily facial moisturizer with sun protection,Clothing Co,"Jaipur, Rajasthan",2020-03-25,Within 1 hour,Ships from Bangalore within 1-2 business days,60-day return policy with easy returns,Premium
107,SKU0107,Car Floor Mats V3,Automotive,39.99,True,All-weather rubber floor mat set,Beauty Essentials,"Pune, Maharashtra",2020-10-18,Within 24 hours,Ships from Pune within 2-4 business days,60-day return policy with easy returns,Trusted
108,SKU0108,Wireless Mouse V3,Electronics,29.99,True,Ergonomic wireless mouse with USB receiver,Fashion Hub,"Kolkata, West Bengal",2022-04-20,Same day,Ships from Chennai within 3-5 business days,30-day return policy with free returns,Verified
109,SKU0109,Winter Jacket V3,Clothing,119.99,True,Insulated waterproof winter coat,Adventure Gear,"Delhi, Delhi",2021-01-22,Within 1 hour,Ships from Chennai within 3-5 business days,15-day return policy on unused items,Top Rated
110,SKU0110,Garden Tool Set V3,Home & Garden,44.99,True,7-piece gardening tool kit with trowel,Organic Foods,"Bangalore, Karnataka",2020-03-17,Within 24 hours,Ships from Mumbai within 1-2 business days,7-day return policy with original packaging,Top Rated
111,SKU0111,Yoga Mat Premium V3,Sports & Outdoors,34.99,True,Extra thick non-slip exercise mat,Clothing Co,"Bangalore, Karnataka",2024-04-19,Within 2 hours,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Top Rated
112,SKU0112,Science Fiction Trilogy V3,Books,39.99,True,Award-winning sci-fi trilogy box set,BookLovers,"Jaipur, Rajasthan",2022-01-10,Within 1 hour,Ships from Mumbai within 1-2 business days,15-day return policy on unused items,Featured
113,SKU0113,Puzzle 1000 Pieces V3,Toys & Games,19.99,True,Scenic landscape jigsaw puzzle,Beauty Box,"Hyderabad, Telangana",2021-01-21,Same day,Ships from Chennai within 3-5 business days,60-day return policy with easy returns,Premium
114,SKU0114,Dark Chocolate Bar 12pk V3,Food & Beverages,22.99,True,Premium 70% cocoa chocolate bars,Health Market,"Delhi, Delhi",2023-10-02,Within 4 hours,Ships from Bangalore within 1-2 business days,No returns on sale items; 30 days for regular items,Verified
115,SKU0115,Hair Dryer Professional V3,Health & Beauty,69.99,True,Ionic hair dryer with diffuser attachment,Health Market,"Surat, Gujarat",2024-04-07,Within 2 hours,Ships from Mumbai within 1-2 business days,7-day return policy with original packaging,Trusted
116,SKU0116,Car Seat Covers V3,Automotive,59.99,True,Universal fit front and rear seat covers,ToysRFun,"Pune, Maharashtra",2020-01-25,Within 2 hours,Ships from Mumbai within 1-2 business days,30-day return policy with free returns,Featured
117,SKU0117,Mechanical Keyboard V3,Electronics,89.99,True,RGB backlit gaming mechanical keyboard,Home Decor,"Ahmedabad, Gujarat",2024-09-21,Within 1 hour,Ships from Chennai within 3-5 business days,7-day return policy with original packaging,Top Rated
118,SKU0118,Sneakers Canvas V3,Clothing,39.99,True,Casual canvas sneakers unisex,Green Garden Co,"Pune, Maharashtra",2021-12-13,Same day,Ships from Chennai within 3-5 business days,7-day return policy with original packaging,Top Rated
119,SKU0119,Patio Furniture Set V3,Home & Garden,399.99,True,4-piece outdoor furniture with cushions,Play Zone,"Hyderabad, Telangana",2024-01-18,Within 4 hours,Ships from Mumbai within 1-2 business days,60-day return policy with easy returns,Top Rated
120,SKU0120,Bicycle Mountain 26 inch V3,Sports & Outdoors,349.99,True,21-speed mountain bike with suspension,Beauty Essentials,"Ahmedabad, Gujarat",2021-02-11,Within 4 hours,Ships from Pune within 2-4 business days,No returns on sale items; 30 days for regular items,Featured
